dataset,model,n_train,seed,seconds,roc_auc,pr_auc
bace,baseline,100,0,1.1,0.7474423443731576,0.7418629032866757
bace,gnn,100,0,3.0,0.7483960464713023,0.762448173575347
bace,baseline,250,0,0.1,0.8331888330154327,0.8403403798087692
bace,gnn,250,0,4.7,0.8349228368302409,0.8068441759141958
bace,baseline,500,0,0.2,0.8650078030171666,0.884587880868075
bace,gnn,500,0,13.1,0.8123807872377319,0.7783815494457156
bace,baseline,1000,0,0.5,0.8866828507022715,0.8820706744307883
bace,gnn,1000,0,7.6,0.739032425871337,0.7452568152847512
bace,baseline,1210,0,0.5,0.9015952835096237,0.8988181132532913
bace,gnn,1210,0,8.1,0.7284550026010057,0.712635132161219
bace,baseline,100,1,0.2,0.693064091308165,0.7290705776108317
bace,gnn,100,1,1.3,0.5768217734855136,0.6560223364319265
bace,baseline,250,1,0.2,0.6855136084284461,0.7081954618680372
bace,gnn,250,1,2.7,0.667603160667252,0.6605216031700056
bace,baseline,500,1,0.2,0.8467076382791924,0.8329782757715922
bace,gnn,500,1,15.3,0.8588235294117648,0.8475485498713501
bace,baseline,1000,1,0.5,0.875241439859526,0.8659512367783877
bace,gnn,1000,1,20.0,0.8949956101843723,0.8835371068235208
bace,baseline,1210,1,0.6,0.8829675153643548,0.8687495723945386
bace,gnn,1210,1,17.4,0.8877963125548727,0.8830390538007193
bace,baseline,100,2,0.1,0.7619047619047621,0.7378902273323963
bace,gnn,100,2,2.6,0.7560173160173159,0.7055892837141737
bace,baseline,250,2,0.1,0.7786147186147186,0.76816829488988
bace,gnn,250,2,2.5,0.6623376623376623,0.6922592385286619
bace,baseline,500,2,0.8,0.8308225108225109,0.800962707188662
bace,gnn,500,2,3.9,0.7066666666666667,0.7306346578421279
bace,baseline,1000,2,0.7,0.827012987012987,0.8014706621531917
bace,gnn,1000,2,27.7,0.8043290043290043,0.7697070303349651
bace,baseline,1210,2,0.7,0.8238961038961039,0.7910960485914956
bace,gnn,1210,2,25.2,0.7696969696969698,0.7137741354342892
