dataset,model,n_train,seed,seconds,roc_auc,pr_auc
bbbp,baseline,100,0,1.1,0.8771551724137931,0.9279709724318781
bbbp,gnn,100,0,2.9,0.8348522167487685,0.9072630509338461
bbbp,baseline,250,0,0.1,0.9445812807881774,0.9694273517377086
bbbp,gnn,250,0,4.9,0.8774630541871921,0.9408034748438359
bbbp,baseline,500,0,0.1,0.8988916256157634,0.9294475825254973
bbbp,gnn,500,0,12.3,0.9131773399014778,0.9667078840694778
bbbp,baseline,1000,0,0.6,0.9403940886699507,0.9725412087235323
bbbp,gnn,1000,0,11.3,0.9461822660098521,0.9768261348279668
bbbp,baseline,1580,0,0.8,0.9522167487684728,0.9806972555542226
bbbp,gnn,1580,0,32.2,0.9516009852216749,0.9781618892372559
bbbp,baseline,100,1,0.1,0.8930153917910449,0.9302134785943662
bbbp,gnn,100,1,3.4,0.8397271455223881,0.8845530087279996
bbbp,baseline,250,1,0.2,0.8897504664179104,0.9414360240577202
bbbp,gnn,250,1,5.4,0.9124300373134328,0.9598359671371297
bbbp,baseline,500,1,0.3,0.9081739738805971,0.9517515752483839
bbbp,gnn,500,1,9.6,0.9175606343283583,0.9588502822495448
bbbp,baseline,1000,1,0.3,0.935576026119403,0.9684519678167747
bbbp,gnn,1000,1,16.3,0.9608208955223881,0.9811126878755623
bbbp,baseline,1580,1,0.8,0.9411730410447761,0.9730180157430104
bbbp,gnn,1580,1,27.7,0.9497434701492538,0.9742243082418772
bbbp,baseline,100,2,0.1,0.801487414187643,0.9289455996370082
bbbp,gnn,100,2,2.0,0.7698798627002288,0.8929566009090688
bbbp,baseline,250,2,0.4,0.8453232265446223,0.936020421815372
bbbp,gnn,250,2,2.7,0.8594107551487414,0.9558572068335396
bbbp,baseline,500,2,0.2,0.8498283752860413,0.94626263978637
bbbp,gnn,500,2,4.4,0.8263729977116705,0.9430508989721595
bbbp,baseline,1000,2,0.3,0.8232980549199084,0.9332092429211034
bbbp,gnn,1000,2,9.4,0.8525457665903889,0.9476399025994494
bbbp,baseline,1580,2,0.6,0.8753575514874142,0.9512959760405638
bbbp,gnn,1580,2,16.7,0.8822940503432494,0.9588732260614189
