dataset,model,n_train,seed,seconds,rmse,mae,r2
esol,baseline,100,0,2.0,1.1084631903751634,0.8470223017424239,0.7767369377459966
esol,gnn,100,0,3.2,1.1620700348678668,0.8730490207672119,0.7546201348304749
esol,baseline,250,0,0.2,0.9692355329359572,0.7884592318629255,0.8293002125270131
esol,gnn,250,0,3.7,0.9718688474012696,0.7722786664962769,0.8283714056015015
esol,baseline,500,0,0.4,0.9924094275261494,0.7978778407829606,0.8210399517203717
esol,gnn,500,0,7.5,0.8994346392635539,0.717022716999054,0.8530012965202332
esol,baseline,893,0,0.9,1.0077867778441538,0.7898009484168139,0.8154510247719422
esol,gnn,893,0,16.0,0.8470443063675096,0.6775130033493042,0.8696273565292358
esol,baseline,100,1,0.1,1.0166894526001493,0.7850754067779648,0.7722344987669976
esol,gnn,100,1,2.7,1.138120593042027,0.8497524261474609,0.7145776748657227
esol,baseline,250,1,0.1,0.8620113212452745,0.6445705093290144,0.8362666125451239
esol,gnn,250,1,7.6,0.9090659688107744,0.6790429353713989,0.8179032802581787
esol,baseline,500,1,0.3,0.8314641874494854,0.628944640721417,0.8476654535214088
esol,gnn,500,1,12.3,0.8390973700127445,0.6190811991691589,0.8448556065559387
esol,baseline,893,1,0.5,0.7391659311856772,0.5731415062859648,0.8796086759167514
esol,gnn,893,1,11.0,0.833791062689299,0.6503769159317017,0.8468116521835327
esol,baseline,100,2,0.1,1.010033448992425,0.7951928642142178,0.7385262870793508
esol,gnn,100,2,2.7,1.3138219896767471,1.0321484804153442,0.5575852990150452
esol,baseline,250,2,0.2,0.826923304185477,0.656366405033171,0.8247383146454126
esol,gnn,250,2,4.2,0.8240518626979275,0.6565694808959961,0.8259533643722534
esol,baseline,500,2,0.4,0.7611584636754579,0.6148176516796546,0.8515067601796442
esol,gnn,500,2,8.2,0.838199016309601,0.6430017352104187,0.8199260830879211
esol,baseline,893,2,0.4,0.7252007529873348,0.5750455748876278,0.8652052387706112
esol,gnn,893,2,20.0,0.7563207041578605,0.5655028223991394,0.8533883690834045
