dataset,model,n_train,seed,seconds,rmse,mae,r2
lipo,baseline,100,0,3.2,1.022175696846611,0.8121998545359704,0.23067154429285064
lipo,gnn,100,0,3.4,1.2039075511056452,0.9967987537384033,-0.06720268726348877
lipo,baseline,250,0,0.1,0.976247260761709,0.7807023180412787,0.29825334540845483
lipo,gnn,250,0,5.3,0.9590299016708168,0.7589539885520935,0.3227875232696533
lipo,baseline,500,0,0.9,0.8954805063567643,0.6846379937328033,0.4095638133935118
lipo,gnn,500,0,15.7,0.7427630953152755,0.5804061889648438,0.5937800407409668
lipo,baseline,1000,0,1.6,0.7993101278842046,0.6285857869883393,0.5295739899931494
lipo,gnn,1000,0,35.5,0.6986106060659084,0.5486194491386414,0.6406389474868774
lipo,baseline,2000,0,5.3,0.754776860673109,0.583338580644674,0.5805329524780786
lipo,gnn,2000,0,31.5,0.7086073027705789,0.5600156784057617,0.6302808523178101
lipo,baseline,3360,0,13.5,0.6808590728831697,0.5129007714171018,0.6586694563323734
lipo,gnn,3360,0,93.8,0.5396686131850857,0.4176502823829651,0.7855554819107056
lipo,baseline,100,1,0.9,1.0504353926432386,0.8436672232824551,0.2774465651995237
lipo,gnn,100,1,1.8,1.2777811870437328,1.060691475868225,-0.06916379928588867
lipo,baseline,250,1,0.3,0.9805956635625496,0.7796481421092865,0.37033259231054605
lipo,gnn,250,1,10.2,0.9702058128393547,0.7635199427604675,0.38360512256622314
lipo,baseline,500,1,2.2,0.8644335661375687,0.6709529502659071,0.5106782478687757
lipo,gnn,500,1,18.8,0.78198066875584,0.6114494800567627,0.599573016166687
lipo,baseline,1000,1,2.5,0.7782001094287119,0.6113024152073442,0.6034354830175931
lipo,gnn,1000,1,34.0,0.7055990772537006,0.5319395661354065,0.6739777326583862
lipo,baseline,2000,1,5.6,0.6846916922466342,0.535705778915194,0.6930120036488219
lipo,gnn,2000,1,56.2,0.6724531436394277,0.4754633605480194,0.703888475894928
lipo,baseline,3360,1,13.6,0.6735314399297597,0.5106807305596033,0.7029380526270579
lipo,gnn,3360,1,96.6,0.6939927338046628,0.4313567280769348,0.6846149563789368
lipo,baseline,100,2,0.1,1.1358427679465342,0.940816425231993,0.19246856991028982
lipo,gnn,100,2,2.6,1.31775593828699,1.0179027318954468,-0.08690834045410156
lipo,baseline,250,2,0.2,1.0001352860581705,0.7962798848524393,0.3739046183020738
lipo,gnn,250,2,11.2,1.0416484576859,0.7666093111038208,0.32085055112838745
lipo,baseline,500,2,0.7,0.9794959486985357,0.7600385240953622,0.3994788766251681
lipo,gnn,500,2,19.3,0.9152261874475393,0.6771504878997803,0.4756999611854553
lipo,baseline,1000,2,3.1,0.8978607725571665,0.6905072385080249,0.49540726234848886
lipo,gnn,1000,2,35.9,0.8498759585920926,0.602923572063446,0.5479004383087158
lipo,baseline,2000,2,5.9,0.8159057698823678,0.6286187064435275,0.5833196608439396
lipo,gnn,2000,2,68.1,0.7977640764697465,0.5348860621452332,0.601643443107605
lipo,baseline,3360,2,7.8,0.7805887363925375,0.5902263175839187,0.6186115288170203
lipo,gnn,3360,2,88.0,0.7346781247091252,0.4797985553741455,0.662155270576477
