dataset,model,split,seed,seconds,roc_auc,pr_auc
bace,baseline,random,0,1.8,0.9037229437229437,0.8904628781599402
bace,gnn,random,0,20.6,0.8652813852813853,0.8366343860348877
bace,baseline,random,1,0.4,0.8698508522727272,0.7819848101554021
bace,gnn,random,1,28.9,0.8483664772727273,0.7690948912390368
bace,baseline,random,2,0.6,0.9219512195121952,0.9181725108282983
bace,gnn,random,2,32.4,0.9005226480836237,0.8447123815971436
bace,baseline,scaffold,0,0.5,0.9114791052540315,0.9113556367538616
bace,gnn,scaffold,0,20.6,0.882434541355991,0.8314529235550905
bace,baseline,scaffold,1,0.6,0.8863037752414398,0.8815117290807346
bace,gnn,scaffold,1,34.1,0.8781387181738368,0.8790207956972129
bace,baseline,scaffold,2,0.9,0.8325541125541126,0.7982131838110558
bace,gnn,scaffold,2,33.8,0.8072727272727273,0.7569530202813192
