dataset,model,split,seed,seconds,roc_auc,pr_auc
bbbp,baseline,random,0,2.5,0.9192118226600985,0.9624832304091824
bbbp,gnn,random,0,30.4,0.9119458128078818,0.9418584574769168
bbbp,baseline,random,1,1.0,0.9118918918918919,0.9659563295127556
bbbp,gnn,random,1,21.8,0.8885135135135135,0.9537369702007811
bbbp,baseline,random,2,0.9,0.9013062409288823,0.9719744791245638
bbbp,gnn,random,2,22.9,0.8774391227221415,0.9576299014082442
bbbp,baseline,scaffold,0,0.5,0.9308497536945813,0.964376080209347
bbbp,gnn,scaffold,0,25.8,0.9644088669950739,0.9847251935419464
bbbp,baseline,scaffold,1,0.8,0.9400069962686567,0.9722730308514133
bbbp,gnn,scaffold,1,24.7,0.9427472014925373,0.9612805355894982
bbbp,baseline,scaffold,2,0.7,0.8773598398169337,0.9512829304070105
bbbp,gnn,scaffold,2,22.2,0.899170480549199,0.9649126220578117
