dataset,model,split,seed,seconds,rmse,mae,r2
esol,baseline,random,0,1.9,0.6745226122961756,0.46633768651840973,0.8800490137403324
esol,gnn,random,0,22.2,0.6621968259420224,0.4550502300262451,0.8843927383422852
esol,baseline,random,1,1.2,0.667097242667762,0.49092070409202143,0.8805529302913807
esol,gnn,random,1,12.3,0.6940884692380332,0.5375807285308838,0.8706915378570557
esol,baseline,random,2,0.8,0.6161502612443921,0.49875218453672415,0.9153639038842328
esol,gnn,random,2,18.5,0.5657415501768018,0.4397346079349518,0.9286459684371948
esol,baseline,scaffold,0,1.7,0.986335740930222,0.7796409831577893,0.8232237703755587
esol,gnn,scaffold,0,7.9,1.0129163568878852,0.8182471394538879,0.8135675191879272
esol,baseline,scaffold,1,0.5,0.7488609852999126,0.5763810940381353,0.8764298091050123
esol,gnn,scaffold,1,18.5,0.7087290490634764,0.5400456786155701,0.8893193006515503
esol,baseline,scaffold,2,0.4,0.7141134951494239,0.5618136027869605,0.8692953610591825
esol,gnn,scaffold,2,11.1,0.735546759931056,0.5976904034614563,0.8613317012786865
