dataset,model,split,seed,seconds,rmse,mae,r2
lipo,baseline,random,0,14.5,0.6513948704518472,0.47392923565836487,0.701089505528501
lipo,gnn,random,0,65.1,0.6125006841149694,0.44302788376808167,0.7357192039489746
lipo,baseline,random,1,12.9,0.6225335488556442,0.4659701650853384,0.6788892324140949
lipo,gnn,random,1,106.4,0.525344591357573,0.3830951154232025,0.771325409412384
lipo,baseline,random,2,9.6,0.6262958237696348,0.4558849305404616,0.7265686807499949
lipo,gnn,random,2,107.8,0.5965660473981348,0.4301851689815521,0.7519116997718811
lipo,baseline,scaffold,0,13.5,0.6731722688156105,0.5083062959352288,0.6663330985753246
lipo,gnn,scaffold,0,97.6,0.5619497787055632,0.4363260269165039,0.7674825191497803
lipo,baseline,scaffold,1,13.7,0.6768099342215402,0.5109123183792355,0.700039045493752
lipo,gnn,scaffold,1,112.2,0.6676168128109595,0.42303112149238586,0.7081324458122253
lipo,baseline,scaffold,2,9.6,0.7710715984196744,0.5764212318786734,0.627854807009784
lipo,gnn,scaffold,2,96.1,0.7340091037289623,0.46850037574768066,0.6627702713012695
