smiles,y_true,y_pred,abs_err,MolWt,MolLogP,TPSA,RotB,Rings
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.600000381469727,-6.231311082839966,2.3686892986297607,376.5,6.37,27.69,9,3
NC(=O)c1cccnc1,0.6100000143051147,-1.7220051288604736,2.3320051431655884,122.13,0.18,55.98,1,1
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-5.839000225067139,-3.707926034927368,2.1310741901397705,342.78,4.26,67.51,4,3
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.1700000017881393,-2.276686191558838,2.1066861897706985,254.25,-2.21,102.28,3,2
CCNc1nc(Cl)nc(NCC)n1,-4.550000190734863,-2.5079686641693115,2.0420315265655518,201.66,1.39,62.73,4,1
Cc1cccc(C)n1,0.449999988079071,-1.451561450958252,1.901561439037323,107.16,1.7,12.89,0,1
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28000020980835,-5.463617324829102,1.816382884979248,381.11,4.51,58.2,2,2
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000427246094,-6.587398529052734,1.8146018981933594,505.21,6.49,59.32,6,3
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017000198364258,-6.238450050354004,1.778550148010254,416.3,6.18,59.32,6,3
Cc1ccnc(C)c1,0.3799999952316284,-1.3940083980560305,1.774008393287659,107.16,1.7,12.89,0,1
Cc1cccnc1C,0.3799999952316284,-1.3647953271865845,1.744795322418213,107.16,1.7,12.89,0,1
Oc1ccccn1,1.0199999809265137,-0.7101502418518066,1.7301502227783203,95.1,0.79,33.12,0,1
Cc1cncc(C)c1,0.3799999952316284,-1.3249443769454956,1.704944372177124,107.16,1.7,12.89,0,1
CCc1ccccn1,0.5099999904632568,-1.1945500373840332,1.70455002784729,107.16,1.64,12.89,1,1
Cc1ccncc1C,0.3600000143051147,-1.3321528434753418,1.6921528577804565,107.16,1.7,12.89,0,1
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.340000152587891,-4.64960241317749,1.6903977394104004,393.85,3.88,55.84,8,2
Oc1ccncc1,1.0199999809265137,-0.6700828075408936,1.6900827884674072,95.1,0.79,33.12,0,1
NNC(=O)c1ccncc1,0.0089999996125698,-1.6563053131103516,1.6653053127229214,137.14,-0.31,68.01,1,1
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-6.019999980926514,-4.378086090087891,1.641913890838623,310.69,3.58,58.2,2,2
Nc1nc(O)nc2nc[nH]c12,-3.401000022888184,-1.765499234199524,1.6355007886886601,151.13,-0.36,100.71,0,2
