smiles,y_true,y_pred,abs_err,MolWt,MolLogP,TPSA,RotB,Rings
CC(N)(COP(=O)(O)O)C(=O)O,2.5,-5.383383274078369,7.883383274078369,199.1,-1.1,130.08,4,0
CCCN[C@H]1CCc2nc(N)sc2C1,3.150000095367432,-0.0546557903289794,3.2046558856964116,211.33,1.58,50.94,3,2
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.449999988079071,3.3650922775268555,2.9150922894477844,308.38,3.79,40.62,5,3
C1CCC(NC2CCCCC2)CC1,-0.3799999952316284,2.446488618850708,2.8264886140823364,181.32,3.24,12.03,2,2
CCN(CC)c1ncnc2c1ncn2Cc1c(Cl)cccc1Cl,1.25,3.725298404693604,2.475298404693604,350.25,4.03,46.84,5,3
Nc1nc(Nc2ccc3nc(-c4ccc(F)cc4)cc(N)c3c2)cc(-c2ccc(C(F)(F)F)cc2)n1,1.5399999618530271,3.910766124725342,2.3707661628723145,490.46,6.42,102.74,4,5
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1C(F)(F)F,1.7999999523162842,4.1053385734558105,2.3053386211395264,437.65,5.44,54.88,2,2
COc1cc(OC)c2nc(C)c3c(c2c1)N(c1ccc(O)cc1)CC3,1.5,3.605561017990112,2.105561017990112,336.39,3.96,54.82,3,4
COc1ccc(-c2ccccc2)cc1N1CC(=O)NS1(=O)=O,-1.0099999904632568,1.0756804943084717,2.0856804847717285,318.35,1.54,75.71,3,3
c1ccc(-c2cc(NCCCCCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1,2.2699999809265137,4.23832368850708,1.9683237075805664,550.75,9.98,49.84,13,6
Cc1nc(C(=O)[C@H](C)Oc2ccc(SCCCCCc3ccccc3)cc2)sc1CCCC(=O)O,2.0299999713897705,3.9134254455566406,1.8834254741668701,511.71,7.01,76.49,15,3
c1ccc2c(c1)CCN(c1ccncc1)C2,1.399999976158142,3.161972045898437,1.761972069740295,210.28,2.64,16.13,1,3
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,3.1700000762939453,4.912251949310303,1.7422518730163574,473.41,7.49,42.21,4,5
N=C(N)NCCC[C@H](NC(=O)COCC(c1ccccc1)c1ccccc1)C(=O)O,0.1800000071525573,-1.5041797161102295,1.6841797232627869,412.49,1.67,137.53,12,2
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,1.7999999523162842,0.1339178085327148,1.6660821437835693,837.06,2.21,216.89,13,3
N=C(N)Nc1cc(Cl)nc(-c2ccccc2)n1,2.1600000858306885,0.4967131614685058,1.6632869243621826,247.69,2.1,87.68,2,2
CC(NCC(O)c1ccc([N+](=O)[O-])cc1)C12CC3CC(CC(C3)C1)C2,3.5299999713897705,1.9120633602142332,1.6179366111755373,344.46,3.82,75.4,6,5
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,3.799999952316284,2.1957414150238037,1.6042585372924805,455.48,6.65,75.11,6,4
CCN(c1ccccc1)c1cc(NC)[n+](C)c(C)n1,-0.9100000262260436,0.6810593605041504,1.591059386730194,257.36,2.41,32.04,4,2
COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCC(CO)CC2)cc1NC(C)=O,1.0299999713897705,2.6162898540496826,1.586289882659912,477.58,2.35,117.2,9,3
